2025-07-02 12:30:36 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.265s
2025-07-02 12:30:37 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.543s
2025-07-02 12:30:37 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.568s
2025-07-02 12:30:37 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.631s
2025-07-02 12:30:38 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 4.331s
2025-07-02 12:30:42 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.620s
2025-07-02 12:30:45 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.535s
2025-07-02 12:33:46 | INFO | t3shield | log_requests:49 | GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.000s
2025-07-02 12:34:02 | INFO | t3shield | log_requests:49 | GET /statistiques - 200 - 0.002s
2025-07-02 12:34:02 | INFO | t3shield | log_requests:49 | GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.001s
2025-07-02 12:34:02 | INFO | t3shield | log_requests:49 | GET /css/nav.css - 200 - 0.006s
2025-07-02 12:34:02 | INFO | t3shield | log_requests:49 | GET /css/stats-styles.css - 200 - 0.011s
2025-07-02 12:34:02 | INFO | t3shield | log_requests:49 | GET /static/logo-cropped.svg - 200 - 0.007s
2025-07-02 12:34:03 | INFO | t3shield | log_requests:49 | GET /js/global-cache.js - 200 - 0.004s
2025-07-02 12:34:03 | INFO | t3shield | log_requests:49 | GET /js/user-management.js - 200 - 0.003s
2025-07-02 12:34:03 | INFO | t3shield | log_requests:49 | GET /js/stats-data-refined.js - 200 - 0.002s
2025-07-02 12:34:03 | INFO | t3shield | log_requests:49 | GET /favicon.ico - 200 - 0.002s
2025-07-02 12:34:50 | INFO | t3shield | log_requests:49 | GET /robots.txt - 404 - 0.000s
2025-07-02 12:34:58 | INFO | t3shield | log_requests:49 | GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.001s
2025-07-02 12:34:58 | INFO | t3shield | log_requests:49 | GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.001s
2025-07-02 12:35:06 | INFO | t3shield | log_requests:49 | GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 0.001s
2025-07-02 12:35:07 | INFO | t3shield | log_requests:49 | GET /t3shield/api/current-user - 200 - 0.727s
2025-07-02 12:35:09 | INFO | t3shield | get_lycees:2973 | Found 127 Lycees
2025-07-02 12:35:09 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 2.060s
2025-07-02 12:35:09 | INFO | t3shield | get_villes:2911 | Found 16 Villes
2025-07-02 12:35:09 | INFO | t3shield | get_dps:2854 | Found 16 DPs
2025-07-02 12:35:09 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 2.533s
2025-07-02 12:35:09 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 2.536s
2025-07-02 12:35:09 | INFO | t3shield | get_arefs:2800 | Found 1 AREFs
2025-07-02 12:35:09 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 2.627s
2025-07-02 12:35:10 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.467s
2025-07-02 12:35:10 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.570s
2025-07-02 12:35:10 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.573s
2025-07-02 12:35:13 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 3.016s
2025-07-02 13:02:35 | INFO | t3shield | log_requests:49 | GET /login - 200 - 0.003s
