2025-07-03 11:48:18 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.053s
2025-07-03 11:48:20 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.055s
2025-07-03 11:48:22 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.075s
2025-07-03 11:50:33 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.015s
2025-07-03 11:50:35 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.033s
2025-07-03 11:50:37 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.105s
2025-07-03 11:50:39 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.034s
2025-07-03 11:52:24 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.091s
2025-07-03 11:52:26 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.089s
2025-07-03 11:52:28 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.061s
2025-07-03 11:52:30 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.088s
2025-07-03 11:53:02 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.061s
2025-07-03 11:53:04 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.060s
2025-07-03 12:03:34 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.086s
2025-07-03 12:03:36 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.012s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.330s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.249s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.314s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.170s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.255s
2025-07-03 12:03:49 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.169s
2025-07-03 12:03:50 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.041s
2025-07-03 12:03:52 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.029s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.294s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.239s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.312s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.177s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.242s
2025-07-03 12:04:03 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.166s
2025-07-03 12:04:04 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.019s
2025-07-03 12:04:06 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 1.989s
2025-07-03 12:04:15 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-03 12:04:15 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-03 12:04:15 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 1.300s
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 1.324s
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 1.327s
2025-07-03 12:04:15 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 1.440s
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.166s
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.225s
2025-07-03 12:04:15 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.249s
2025-07-03 12:04:16 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.160s
2025-07-03 12:04:16 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.240s
2025-07-03 12:04:16 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.254s
2025-07-03 12:04:17 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/regions - 200 - 1.523s
2025-07-03 12:04:24 | INFO | t3shield | log_requests:49 | GET /t3shield/api/geojson/provinces - 200 - 6.660s
2025-07-03 12:04:26 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.174s
2025-07-03 12:04:26 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.256s
2025-07-03 12:04:27 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.313s
2025-07-03 12:05:34 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.322s
2025-07-03 12:05:34 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.260s
2025-07-03 12:05:34 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.314s
2025-07-03 12:05:34 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.158s
2025-07-03 12:05:35 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.243s
2025-07-03 12:05:35 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.164s
2025-07-03 12:05:36 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.035s
2025-07-03 12:05:38 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.050s
2025-07-03 12:05:52 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.317s
2025-07-03 12:05:52 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.250s
2025-07-03 12:05:53 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.316s
2025-07-03 12:05:53 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.160s
2025-07-03 12:05:53 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.227s
2025-07-03 12:05:53 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.161s
2025-07-03 12:05:54 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.052s
2025-07-03 12:05:56 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.009s
2025-07-03 12:06:13 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.092s
2025-07-03 12:06:16 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.101s
2025-07-03 12:06:16 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.319s
2025-07-03 12:06:16 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.219s
2025-07-03 12:06:16 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.323s
2025-07-03 12:06:17 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.190s
2025-07-03 12:06:17 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.257s
2025-07-03 12:06:17 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.170s
2025-07-03 12:06:18 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.084s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.311s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.243s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.316s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.020s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.168s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.238s
2025-07-03 12:06:20 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.169s
2025-07-03 12:06:22 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 1.980s
2025-07-03 12:06:24 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.046s
2025-07-03 12:06:26 | INFO | t3shield | get_dps:2854 | Found 83 DPs
2025-07-03 12:06:26 | INFO | t3shield | get_arefs:2800 | Found 13 AREFs
2025-07-03 12:06:26 | INFO | t3shield | get_villes:2911 | Found 83 Villes
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_villes - 200 - 1.346s
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_arefs - 200 - 1.351s
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_dps - 200 - 1.355s
2025-07-03 12:06:26 | INFO | t3shield | get_lycees:2973 | Found 803 Lycees
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /t3shield/api/get_lycees - 200 - 1.494s
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.173s
2025-07-03 12:06:26 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.222s
2025-07-03 12:06:27 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.254s
2025-07-03 12:06:28 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 1.914s
2025-07-03 12:06:32 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.168s
2025-07-03 12:06:32 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.226s
2025-07-03 12:06:32 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.226s
2025-07-03 12:06:35 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.220s
2025-07-03 12:11:04 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.311s
2025-07-03 12:11:04 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.253s
2025-07-03 12:11:04 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.167s
2025-07-03 12:11:06 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.022s
2025-07-03 12:12:08 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.323s
2025-07-03 12:12:08 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.232s
2025-07-03 12:12:08 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.285s
2025-07-03 12:12:08 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.169s
2025-07-03 12:12:09 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.215s
2025-07-03 12:12:09 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.171s
2025-07-03 12:12:10 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.006s
2025-07-03 12:12:12 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.032s
2025-07-03 12:12:13 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.323s
2025-07-03 12:12:13 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.242s
2025-07-03 12:12:13 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.169s
2025-07-03 12:12:15 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.041s
2025-07-03 12:12:32 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.287s
2025-07-03 12:12:32 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.241s
2025-07-03 12:12:32 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.305s
2025-07-03 12:12:32 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.159s
2025-07-03 12:12:32 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.223s
2025-07-03 12:12:33 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.158s
2025-07-03 12:12:34 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.019s
2025-07-03 12:12:36 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.057s
2025-07-03 12:14:51 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.306s
2025-07-03 12:14:52 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.246s
2025-07-03 12:14:52 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.163s
2025-07-03 12:14:53 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.104s
2025-07-03 12:14:59 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.025s
2025-07-03 12:15:01 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.289s
2025-07-03 12:15:05 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.034s
2025-07-03 12:21:06 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.043s
2025-07-03 12:21:08 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.024s
2025-07-03 12:21:11 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.323s
2025-07-03 12:21:11 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.223s
2025-07-03 12:21:12 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.311s
2025-07-03 12:21:12 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.177s
2025-07-03 12:21:12 | INFO | t3shield | log_requests:49 | GET /api/mobility_analyses - 200 - 0.235s
2025-07-03 12:21:12 | INFO | t3shield | log_requests:49 | GET /api/verified_analyses - 200 - 0.174s
2025-07-03 12:21:13 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.027s
2025-07-03 12:21:15 | INFO | t3shield | log_requests:49 | GET /api/statistics - 200 - 2.010s
2025-07-03 12:21:21 | INFO | t3shield | log_requests:49 | GET /api/analyses - 200 - 0.298s
